Family ,Species name,Arabic name,Growth form,Life span,Life form,Chorotype
Acanthaceae,Blepharis ciliaris (L.) B.L. Burtt,سحاة - شوك الضب,Herb,Ann.,Ch,IR-TR+SA-SI+S-Z
Aizoaceae,Aizoanthemopsis hispanica (L.) Klak,المليح,Herb,Ann.,Th,ME+SA-SI
Aizoaceae,Aizoon canariense L.,دعاع- حدق--هداك,Herb,Ann.,Hem,SA-SI+S-Z
Aizoaceae,Zaleya pentandra (L.) C.Jeffrey,زالية,Herb,Ann.,Hem,S-Z
Amaranthaceae,Amaranthus albus L., ثفلة,Herb,Ann.,Th,PAL
Amaranthaceae,Bassia eriophora (Schrad.) Asch.,قضقاض,Herb,Ann.,Th,IR-TR+SA-SI
Amaranthaceae,Bassia muricata (L.) Asch,ذنبان – هيثم - هويمدان,Herb,Ann.,Th,IR-TR+SA-SI
Amaranthaceae,"Chenopodiastrum murale (L.) S. Fuentes, Uotila & Borsch",عفینة - عویجمان,Herb,Ann.,Th,COSM
Amaranthaceae,Chenopodium album L., زربيح,Herb,Ann.,Th,COSM
Amaranthaceae,Chenopodium ficifolium Sm.,رمرام - الغبَيرة,Herb,Ann.,Th,ME+EU
Amaranthaceae,Suaeda aegyptiaca (Hasselq.) Zohary ,سواد - سويد,Herb,Ann.,Hem,SA-SI 
Amaryllidaceae,Allium sphaerocephalon subsp. Sphaerocephalon,ثوم كروي الرأس,Herb,Per.,Ge,ME
Amaryllidaceae,Pancratium sickenbergeri Asch. & Schweinf.,بصيل - طيطان,Herb,Ann.,Ge,SA-SI 
Apiaceae,Anisosciadium lanatum Boiss.,بسباس,Herb,Ann.,Th,IR-TR+SA-SI
Apiaceae,Ducrosia anethifolia (DC.) Boiss.,حزا –حزاز,Herb,Bi  ,Hem,IR-TR
Asparagaceae,Dipcadi erythraeum Webb & Berthel.,زعيطمان - عنيصل,Herb,Per.,Ge,SA-SI 
Asphodelaceae,Asphodelus tenuifolius Cav.,بروق - عنصل,Herb,Ann.,Cr,SA-SI+S-Z
Asteraceae,Anthemis deserti Boiss.,نوار - ربيان أصفر,Herb,Ann.,Th,ME+SA-SI
Asteraceae,Atractylis carduus (Forssk.) C.Chr.,بهيمة – خرشف - شوك جمال -خشيرة,Herb,Ann.,Th,COSM
Asteraceae,Calendula arvensis L.,حنوه,Herb,Ann.,Th,ME+IR-TR+SA-SI
Asteraceae,Calendula tripterocarpa Rupr,حذوة,Herb,Ann.,Th,PAN
Asteraceae,Carduus getulus pomel,اللسان المغربي,Herb,Ann.,Th,SA-SI 
Asteraceae,Carthamus nitidus Boiss.,سـمنـة,Herb,Ann.,Th,SA-SI 
Asteraceae,Carthamus oxyacanthus M.Bieb,سمتة - عصفر,Herb,Ann.,Th,IR-TR+SA-SI
Asteraceae,Centaurea bruguieriana subsp. belangeriana (DC.) Bornm.,شويكة - مرار,Herb,Ann.,Th,IR-TR
Asteraceae,Centaurea pseudosinaica Czerep.,مرار,Herb,Ann.,Th,IR-TR
Asteraceae,Cichorium intybus L.,هندباء,Herb,Ann.,Th,ME+IR-TR
Asteraceae,Echinops hystrichoides Kit Tan,خرشوف - الخشير,Herb,Per.,Hem,ME+SA-SI
Asteraceae,Erigeron bonariensis L.,حشيشة الجبل,Herb,Ann.,Ph,ME
Asteraceae,Filago desertorum Pomel,قطيبة - قريط,Herb,Ann.,Th,IR-TR+SA-SI
Asteraceae,Filago pyramidata L ,قربط هرمي - قطنية,Herb,Ann.,Th,ME
Asteraceae,Gymnarrhena micrantha Desf.,عين بعارين - خف الكلبة,Herb,Ann.,Th,ME+SA-SI
Asteraceae,Ifloga spicata (Forssk.) Sch.Bip.,شجرة المعزة – ذيل القط,Herb,Ann.,Th,ME+SA-SI
Asteraceae,Koelpinia linearis Pall.,ثعلوق – لحية التيس,Herb,Ann.,Th,ME+IR-TR+SA-SI
Asteraceae,Lactuca serriola L.,فاجنولون,Herb,Ann. or Bi.,Th,IR-TR
Asteraceae,Launaea angustifolia (Desf.) Kuntze,بقمة - مرار,Herb,Ann.,Th,ME+SA-SI
Asteraceae,Launaea capitata (Spreng.) Dandy,حواء,Herb,Ann.,Th,IR-TR+SA-SI
Asteraceae,Matricaria aurea (Loefl.) Sch.Bip.,بابونج – زفيرة - عطفرة,Herb,Ann.,Th,SA-SI 
Asteraceae,Onopordum acanthium L,أقسون شوكي,Herb,Bi  ,Hem,IR-TR+SA-SI
